PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201305096539,2,1,0,0,53 Manzanita Av,1043009,BP APPROVED,2014-03-13
N201305207321,3,1,0,0,431 02nd Av,1542005,BP Filed,2013-05-20
N201003057685,2,1,0,0,179 Delmar St,1270053,CONSTRUCTION,2014-04-11
N201005061831,2,1,0,0,1248 Silver Av,5918001,BP Filed,2010-05-06
N201010253666,3,3,0,0,2034 Clement St,1412019,CONSTRUCTION,2014-04-10
N201001225204,3,1,0,0,430 03rd Av,1542039,BP ISSUED,2012-10-24
N201003188484,1,1,0,0,3350 Taraval St,2372024A,BP Filed,2010-03-18
N201002035833,3,1,0,0,990 Guerrero St,3618071,CONSTRUCTION,2012-03-07
N201003107932,1,1,0,0,890 Grove St,797019,CONSTRUCTION,2014-05-27
N201109144613,16,16,0,0,940 Grove St,798010,BP APPROVED,2012-06-14
N201003037492,4,1,0,0,1122 Page St,1219008,BP ISSUED,2011-05-31
N201111179162,106,106,0,0,740 Illinois St And 2121 Third St,4045002,CONSTRUCTION,2014-05-23
N200912223677,12,12,0,0,201 Friedell St,4591C094,CONSTRUCTION,2014-05-19
N201303122049,15,15,0,0,248 - 252 09th St,3518006,CONSTRUCTION,2014-06-23
N201010052342,84,84,0,0,490 South Van Ness Av,3553008,BP Filed,2010-10-05
N201009271661,2,2,0,0,3020 Laguna St,519029,CONSTRUCTION,2013-02-27
N201004230976,8,8,0,0,1234 Folsom St,3729013,BP Filed,2010-04-23
N200811247224,1,1,0,0,10 Hallam St,3755079,BP Filed,2008-11-24
N201004029551,2,1,0,0,1491 Funston Av,1840015,BP Filed,2010-04-02
N201310189655,2,1,0,0,75 Mars St,2653016,BP ISSUED,2014-04-23
N201006023692,3,1,0,0,81 Noe St,3538036,BP APPROVED,2012-10-01
N201006073967,3,2,0,0,1067 Tennessee St,4108010,BP REINSTATED,2010-09-08
N201009140824,1,1,0,0,1510 25th St,4224027,BP ISSUED,2011-08-19
